Age,Work_class,Education,Experience,Marital_status,Occupation,Relationship,Race,Gender,Hours_per_week,High_Income
39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40,0
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,13,0
38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,40,0
53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40,0
28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40,0
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,40,0
49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,16,0
52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45,1
31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50,1
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40,1
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,80,1
30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40,1
23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,30,0
32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,50,0
40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40,1
34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45,0
25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,35,0
32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,40,0
38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,50,0
43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,45,1
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60,1
54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,20,0
35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40,0
43, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40,0
59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,40,0
56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40,1
19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40,0
39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,80,0
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0
23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,52,0
20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,44,0
45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,40,0
30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,40,0
22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,15,0
48, Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,40,0
21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,40,0
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,25,0
31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,38,1
48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,40,0
31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,43,0
53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40,0
24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,50,0
49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,40,0
25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,35,0
57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40,1
53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,38,0
44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,40,0
41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0
29, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,43,0
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,40,0
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,30,0
